STATION_ID,STATION_NAME,DATE,WATER_LEVEL (m),DISCHARGE (m3/s)
SW46.9L,Bahadurabad_Transit,2023-01-01,13.62,5510.00
SW46.9L,Bahadurabad_Transit,2023-01-02,13.38,4780.00
SW46.9L,Bahadurabad_Transit,2023-01-03,13.16,4870.00
SW46.9L,Bahadurabad_Transit,2023-01-04,13.10,4190.00
SW46.9L,Bahadurabad_Transit,2023-01-05,13.14,4310.00
SW46.9L,Bahadurabad_Transit,2023-01-06,13.04,4180.00
SW46.9L,Bahadurabad_Transit,2023-01-07,13.01,3980.00
SW46.9L,Bahadurabad_Transit,2023-01-08,13.19,4260.00
SW46.9L,Bahadurabad_Transit,2023-01-09,13.32,4300.00
SW46.9L,Bahadurabad_Transit,2023-01-1,13.68,5490.00
SW46.9L,Bahadurabad_Transit,2023-01-11,13.77,5460.00
SW46.9L,Bahadurabad_Transit,2023-01-12,13.64,5390.00
SW46.9L,Bahadurabad_Transit,2023-01-13,13.89,5910.00
SW46.9L,Bahadurabad_Transit,2023-01-14,14.95,9270.00
SW46.9L,Bahadurabad_Transit,2023-01-15,14.87,8580.00
SW46.9L,Bahadurabad_Transit,2023-01-16,15.32,12300.00
SW46.9L,Bahadurabad_Transit,2023-01-17,15.84,15400.00
SW46.9L,Bahadurabad_Transit,2023-01-18,15.53,11900.00
SW46.9L,Bahadurabad_Transit,2023-01-19,15.65,12500.00
SW46.9L,Bahadurabad_Transit,2023-01-20,15.89,13100.00
SW46.9L,Bahadurabad_Transit,2023-01-21,16.92,20600.00
SW46.9L,Bahadurabad_Transit,2023-01-22,18.70,36600.00
SW46.9L,Bahadurabad_Transit,2023-01-23,18.55,35500.00
SW46.9L,Bahadurabad_Transit,2023-01-24,18.30,34800.00
SW46.9L,Bahadurabad_Transit,2023-01-25,19.79,61700.00
SW46.9L,Bahadurabad_Transit,2023-01-26,19.23,50800.00
SW46.9L,Bahadurabad_Transit,2023-01-27,19.12,47000.00
SW46.9L,Bahadurabad_Transit,2023-01-28,18.21,28100.00
SW46.9L,Bahadurabad_Transit,2023-01-29,17.68,26500.00
SW46.9L,Bahadurabad_Transit,2023-01-30,18.64,37800.00
